model,model_name,model_size,exp_key,k_shots,no_desc,max_example_chars,balanced_accuracy,macro_f1,unknown_rate,f1_group_A,f1_group_B,f1_group_C,prompt_tokens,skipped,n_test
saiga_8b,IlyaGusev/saiga_llama3_8b,16,0,0,False,500,0.11058996393817822,0.09267738104664197,0.002932551319648094,0.22162624979236162,0.14497354497354495,0.0,3263,False,341
saiga_8b,IlyaGusev/saiga_llama3_8b,16,1,1,False,500,0.06254133597883597,0.023464359835456968,0.0,0.09624529865493721,0.018113912231559292,0.0,3454,False,341
t_lite_8b,t-tech/T-lite-it-1.0,16,0,0,False,500,0.18099449327127898,0.1603317705924411,0.0,0.2935957580297484,0.14003341687552212,0.19444444444444442,3469,False,341
t_lite_8b,t-tech/T-lite-it-1.0,16,1,1,False,500,0.13294891285962715,0.11410365589756157,0.005865102639296188,0.23772716290981133,0.1057142857142857,0.1111111111111111,3660,False,341
t_lite_8b,t-tech/T-lite-it-1.0,16,3,3,False,500,0.02696400179039068,0.024308140712543787,0.5542521994134897,0.077379066820838,0.02222222222222222,0.0,23892,False,341
t_lite_8b,t-tech/T-lite-it-1.0,16,3nd,3,True,500,0.021911826599326598,0.0180522554556845,0.40762463343108507,0.05742690058479532,0.015277777777777777,0.0,21406,False,341
t_lite_8b,t-tech/T-lite-it-1.0,16,5s,5,False,300,0.037247474747474744,0.038105413105413107,0.7976539589442815,0.02867383512544803,0.01111111111111111,0.08333333333333333,26332,False,341
t_lite_8b,t-tech/T-lite-it-1.0,16,5snd,5,True,300,0.03928755144032922,0.03539328626285148,0.6304985337243402,0.03153080441216034,0.006349206349206349,0.08333333333333333,23846,False,341
vikhr_12b,Vikhrmodels/Vikhr-Nemo-12B-Instruct-R-21-09-24,24,0,0,False,500,0.22163772349784255,0.1741940227170134,0.002932551319648094,0.3053610743599563,0.21010797631487285,0.16666666666666666,3163,False,341
vikhr_12b,Vikhrmodels/Vikhr-Nemo-12B-Instruct-R-21-09-24,24,1,1,False,500,0.2190772190772191,0.15911683639313245,0.0,0.29652095445198895,0.11469215969215969,0.2916666666666667,3374,False,341
vikhr_12b,Vikhrmodels/Vikhr-Nemo-12B-Instruct-R-21-09-24,24,3,3,False,500,0.08231082189415523,0.04707570101025915,0.05865102639296188,0.06827708429650177,0.08492063492063491,0.05555555555555555,24292,False,341
vikhr_12b,Vikhrmodels/Vikhr-Nemo-12B-Instruct-R-21-09-24,24,3nd,3,True,500,0.04236542778209444,0.019368471645699367,0.02346041055718475,0.03533720287451631,0.05839080459770115,0.0,22062,False,341
vikhr_12b,Vikhrmodels/Vikhr-Nemo-12B-Instruct-R-21-09-24,24,5s,5,False,300,0.03958730588194873,0.025657407407407407,0.16129032258064516,0.06647436809408641,0.0440422322775264,0.0,27182,False,341
vikhr_12b,Vikhrmodels/Vikhr-Nemo-12B-Instruct-R-21-09-24,24,5snd,5,True,300,0.0421256433161195,0.022426424219902482,0.011730205278592375,0.04908014571948998,0.04598442116572656,0.0,24952,False,341
qwen_14b,Qwen/Qwen2.5-14B-Instruct,28,0,0,False,500,0.2854305655396925,0.21709524807245126,0.0,0.3904256894508127,0.28428260192966076,0.25,3490,False,341
qwen_14b,Qwen/Qwen2.5-14B-Instruct,28,1,1,False,500,0.2682209003885591,0.2019333619813522,0.0,0.3852622729778935,0.25438487438487434,0.25,3681,False,341
qwen_14b,Qwen/Qwen2.5-14B-Instruct,28,3,3,False,500,0.3157852903636634,0.258205417189802,0.0,0.378431181308499,0.2930999066293184,0.34722222222222215,23913,False,341
qwen_14b,Qwen/Qwen2.5-14B-Instruct,28,3nd,3,True,500,0.2931310266379711,0.22181538182016583,0.0,0.3804732537985107,0.2892592592592592,0.2638888888888889,21427,False,341
qwen_14b,Qwen/Qwen2.5-14B-Instruct,28,5s,5,False,300,0.3582886121080565,0.25167483419105613,0.0,0.3760823893007801,0.34165464165464166,0.4083333333333334,26353,False,341
qwen_14b,Qwen/Qwen2.5-14B-Instruct,28,5snd,5,True,300,0.33407938603871146,0.23234669855534307,0.002932551319648094,0.35555576545240775,0.3403921568627451,0.3194444444444444,23867,False,341
